,Senador,Asistencia,Inasistencias justificadas
0,"Aburto Ochoa, Marcos",16.0,0.0
1,"Arancibia Reyes, Jorge",30.0,0.0
2,"Ávila Contreras, Nelson",28.0,0.0
3,"Boeninger Kausel, Edgardo",30.0,0.0
4,"Bombal Otaegui, Carlos",31.0,0.0
5,"Canessa Robert, Julio",27.0,0.0
6,"Cantero Ojeda, Carlos",29.0,0.0
7,"Cariola Barroilhet, Marco",23.0,0.0
8,"Chadwick Piñera, Andrés",31.0,0.0
9,"Coloma Correa, Juan Antonio",31.0,0.0
10,"Cordero Rusque, Fernando",31.0,0.0
11,"Espina Otero, Alberto",31.0,0.0
12,"Fernández Fernández, Sergio",31.0,0.0
13,"Flores Labra, Fernando",30.0,0.0
14,"Foxley Rioseco, Alejandro",24.0,0.0
15,"Frei Ruiz-Tagle, Carmen",30.0,0.0
16,"Frei Ruiz-Tagle, Eduardo",21.0,0.0
17,"García Ruminot, José",31.0,0.0
18,"Gazmuri Mujica, Jaime",31.0,0.0
19,"Horvath Kiss, Antonio",28.0,0.0
20,"Larraín Fernández, Hernán",29.0,0.0
21,"Lavandero Illanes, Jorge",29.0,0.0
22,"Martínez Busch, Jorge",30.0,0.0
23,"Matthei Fornet, Evelyn",29.0,0.0
24,"Moreno Rojas, Rafael",29.0,0.0
25,"Muñoz Barra, Roberto",31.0,0.0
26,"Naranjo Ortiz, Jaime",23.0,0.0
27,"Novoa Vásquez, Jovino",25.0,0.0
28,"Núñez Muñoz, Ricardo",27.0,0.0
29,"Ominami Pascual, Carlos",28.0,0.0
30,"Orpis Bouchon, Jaime",30.0,0.0
31,"Páez Verdugo, Sergio",19.0,0.0
32,"Parra Muñoz, Augusto",31.0,0.0
33,"Pizarro Soto, Jorge",29.0,0.0
34,"Prokurica Prokurica, Baldo",28.0,0.0
35,"Ríos Santander, Mario",28.0,0.0
36,"Romero Pizarro, Sergio",27.0,0.0
37,"Ruiz De Giorgio, José",26.0,0.0
38,"Ruiz-Esquide Jara, Mariano",31.0,0.0
39,"Sabag Castillo, Hosaín",31.0,0.0
40,"Silva Cimma, Enrique",20.0,0.0
41,"Stange Oelckers, Rodolfo",28.0,0.0
42,"Valdés Subercaseaux, Gabriel",26.0,0.0
43,"Vásquez Úbeda, Guillermo",0.0,0.0
44,"Vega Hidalgo, Ramón",31.0,0.0
45,"Viera-Gallo Quesney, José Antonio",27.0,0.0
46,"Zaldívar Larraín, Adolfo",26.0,0.0
47,"Zaldívar Larraín, Andrés",29.0,0.0
48,"Zurita Camps, Enrique",18.0,0.0
